team,recent_wins,recent_draws,recent_losses,recent_gf,recent_ga,recent_form_score
Abkhazia,5,4,1,18.0,7.0,1.9
Afghanistan,1,2,7,4.0,15.0,0.5
Albania,5,0,5,9.0,9.0,1.5
Alderney,2,0,8,9.0,32.0,0.6
Algeria,5,2,3,18.0,11.0,1.7
Ambazonia,0,1,5,3.0,17.0,0.1
American Samoa,0,1,9,6.0,66.0,0.1
Andalusia,8,2,0,23.0,9.0,2.6
Andorra,1,3,6,5.0,16.0,0.6
Angola,3,5,2,14.0,11.0,1.4
Anguilla,2,0,8,8.0,28.0,0.6
Antigua and Barbuda,0,2,8,3.0,22.0,0.2
Arameans Suryoye,5,2,3,16.0,12.0,1.7
Argentina,9,1,0,25.0,4.0,2.8
Armenia,1,3,6,8.0,25.0,0.6
Artsakh,6,1,3,31.0,13.0,1.9
Aruba,4,2,4,15.0,19.0,1.4
Asturias,1,0,0,3.0,1.0,0.3
Australia,3,3,4,10.0,10.0,1.2
Austria,5,2,3,16.0,12.0,1.7
Aymara,0,0,2,1.0,4.0,0.0
Azerbaijan,2,2,6,12.0,21.0,0.8
Bahamas,1,1,8,12.0,39.0,0.4
Bahrain,2,1,7,9.0,17.0,0.7
Bangladesh,3,4,3,12.0,13.0,1.3
Barawa,3,0,7,14.0,38.0,0.9
Barbados,1,3,6,12.0,23.0,0.6
Basque Country,6,4,0,22.0,7.0,2.2
Belarus,3,3,4,13.0,21.0,1.2
Belgium,6,4,0,29.0,7.0,2.2
Belize,3,1,6,15.0,27.0,1.0
Benin,3,1,6,6.0,20.0,1.0
Bermuda,3,1,6,14.0,26.0,1.0
Bhutan,1,1,8,3.0,24.0,0.4
Biafra,2,0,1,2.0,1.0,0.6
Bolivia,2,1,7,7.0,21.0,0.7
Bonaire,2,0,8,8.0,22.0,0.6
Bosnia and Herzegovina,2,6,2,12.0,13.0,1.2
Botswana,2,1,7,6.0,18.0,0.7
Brazil,6,3,1,22.0,9.0,2.1
British Virgin Islands,4,2,4,17.0,15.0,1.4
Brittany,4,3,3,13.0,14.0,1.5
Brunei,2,1,7,4.0,24.0,0.7
Bulgaria,3,1,6,16.0,24.0,1.0
Burkina Faso,5,2,3,18.0,13.0,1.7
Burundi,2,1,7,6.0,14.0,0.7
Cambodia,3,2,5,17.0,15.0,1.1
Cameroon,5,2,3,10.0,7.0,1.7
Canada,4,5,1,16.0,6.0,1.7
Canary Islands,3,0,1,11.0,3.0,0.9
Cape Verde,1,6,3,11.0,14.0,0.9
Cascadia,4,1,2,23.0,14.0,1.3
Catalonia,5,4,1,21.0,11.0,1.9
Cayman Islands,2,1,7,9.0,24.0,0.7
Central African Republic,2,2,6,7.0,21.0,0.8
Central Spain,1,0,1,2.0,4.0,0.3
Chad,0,3,7,8.0,21.0,0.3
Chagos Islands,1,1,8,15.0,56.0,0.4
Chameria,3,2,2,14.0,8.0,1.1
Chechnya,0,1,2,3.0,29.0,0.1
Chile,5,1,4,14.0,16.0,1.6
China,3,2,5,8.0,12.0,1.1
Cilento,0,0,1,0.0,2.0,0.0
Colombia,6,2,2,15.0,7.0,2.0
Comoros,1,4,5,8.0,15.0,0.7
Congo,1,2,7,6.0,23.0,0.5
Cook Islands,2,0,8,5.0,33.0,0.6
Corsica,4,4,1,10.0,5.0,1.6
Costa Rica,1,5,4,11.0,19.0,0.8
County of Nice,6,1,2,19.0,13.0,1.9
Crimea,3,0,2,7.0,11.0,0.9
Croatia,6,0,4,17.0,17.0,1.8
Cuba,3,2,5,10.0,19.0,1.1
Curaçao,2,3,5,15.0,21.0,0.9
Cyprus,3,3,4,16.0,15.0,1.2
Czech Republic,4,3,3,21.0,14.0,1.5
Czechoslovakia,4,5,1,21.0,9.0,1.7
DR Congo,4,2,4,12.0,8.0,1.4
Darfur,0,0,7,1.0,99.0,0.0
Denmark,5,4,1,24.0,10.0,1.9
Djibouti,0,2,8,5.0,27.0,0.2
Dominica,1,4,5,7.0,18.0,0.7
Dominican Republic,1,4,5,10.0,16.0,0.7
Donetsk PR,2,2,2,8.0,7.0,0.8
Délvidék,1,0,1,4.0,3.0,0.3
East Turkestan,2,0,3,15.0,16.0,0.6
Ecuador,4,4,2,11.0,7.0,1.6
Egypt,3,6,1,12.0,6.0,1.5
El Salvador,2,2,6,5.0,14.0,0.8
Elba Island,2,0,0,9.0,2.0,0.6
Ellan Vannin,4,3,3,16.0,14.0,1.5
England,6,3,1,15.0,5.0,2.1
Equatorial Guinea,1,2,7,5.0,15.0,0.5
Eritrea,0,1,9,4.0,21.0,0.1
Estonia,3,3,4,10.0,18.0,1.2
Eswatini,0,5,5,7.0,24.0,0.5
Ethiopia,4,1,5,12.0,14.0,1.3
Falkland Islands,0,1,9,7.0,33.0,0.1
Faroe Islands,7,0,3,14.0,8.0,2.1
Felvidék,4,2,4,11.0,16.0,1.4
Fiji,1,3,6,7.0,28.0,0.6
Finland,3,1,6,11.0,17.0,1.0
France,8,1,1,25.0,8.0,2.5
Franconia,2,0,1,8.0,11.0,0.6
French Guiana,3,2,5,17.0,15.0,1.1
Frøya,1,1,8,13.0,39.0,0.4
Gabon,3,2,5,18.0,19.0,1.1
Galicia,3,3,4,13.0,21.0,1.2
Gambia,4,2,4,22.0,16.0,1.4
Georgia,3,2,5,14.0,18.0,1.1
German DR,7,1,2,19.0,13.0,2.2
Germany,8,1,1,31.0,10.0,2.5
Ghana,1,2,7,5.0,16.0,0.5
Gibraltar,5,0,5,21.0,18.0,1.5
Gotland,3,0,7,29.0,19.0,0.9
Gozo,4,2,4,26.0,14.0,1.4
Greece,2,3,5,12.0,16.0,0.9
Greenland,4,3,3,14.0,22.0,1.5
Grenada,5,0,5,17.0,21.0,1.5
Guadeloupe,5,1,4,15.0,11.0,1.6
Guam,2,1,7,14.0,28.0,0.7
Guatemala,2,2,6,10.0,24.0,0.8
Guernsey,6,0,4,23.0,10.0,1.8
Guinea,3,4,3,12.0,9.0,1.3
Guinea-Bissau,1,2,7,6.0,17.0,0.5
Guyana,8,0,2,26.0,12.0,2.4
Găgăuzia,0,1,2,2.0,9.0,0.1
Haiti,3,1,6,11.0,15.0,1.0
Hitra,4,1,5,23.0,29.0,1.3
Hmong,1,0,2,6.0,10.0,0.3
Honduras,2,5,3,8.0,8.0,1.1
Hong Kong,4,3,3,19.0,11.0,1.5
Hungary,5,3,2,17.0,12.0,1.8
Iceland,1,3,6,11.0,22.0,0.6
India,0,3,7,4.0,14.0,0.3
Indonesia,5,1,4,17.0,11.0,1.6
Iran,4,5,1,16.0,6.0,1.7
Iraq,3,1,6,7.0,19.0,1.0
Iraqi Kurdistan,3,6,1,23.0,9.0,1.5
Isle of Man,7,0,3,35.0,12.0,2.1
Isle of Wight,7,1,2,19.0,9.0,2.2
Israel,5,2,3,19.0,17.0,1.7
Italy,8,1,1,24.0,10.0,2.5
Ivory Coast,7,0,3,20.0,10.0,2.1
Jamaica,4,2,4,9.0,8.0,1.4
Japan,7,2,1,19.0,7.0,2.3
Jersey,8,1,1,27.0,10.0,2.5
Jordan,2,2,6,12.0,21.0,0.8
Kabylia,1,2,3,8.0,15.0,0.5
Kazakhstan,3,3,4,11.0,14.0,1.2
Kenya,4,3,3,14.0,17.0,1.5
Kernow,7,2,1,27.0,9.0,2.3
Kiribati,0,1,9,7.0,102.0,0.1
Kosovo,5,2,3,14.0,11.0,1.7
Kurdistan,4,1,0,12.0,2.0,1.3
Kuwait,2,4,4,15.0,22.0,1.0
Kyrgyzstan,1,4,5,10.0,17.0,0.7
Kárpátalja,5,4,1,24.0,12.0,1.9
Laos,1,2,7,11.0,29.0,0.5
Latvia,0,5,5,5.0,14.0,0.5
Lebanon,5,3,2,21.0,5.0,1.8
Lesotho,2,3,5,7.0,19.0,0.9
Liberia,3,3,4,13.0,15.0,1.2
Libya,3,6,1,11.0,9.0,1.5
Liechtenstein,1,0,9,3.0,33.0,0.3
Lithuania,1,3,6,7.0,16.0,0.6
Luhansk PR,2,1,3,9.0,12.0,0.7
Luxembourg,1,1,8,2.0,15.0,0.4
Macau,0,1,9,3.0,28.0,0.1
Madagascar,5,1,4,17.0,19.0,1.6
Madrid,0,0,1,1.0,2.0,0.0
Malawi,3,3,4,9.0,9.0,1.2
Malaysia,7,2,1,19.0,6.0,2.3
Maldives,1,1,8,4.0,17.0,0.4
Mali,3,5,2,12.0,9.0,1.4
Malta,3,2,5,11.0,23.0,1.1
Manchukuo,0,0,3,0.0,16.0,0.0
Mapuche,1,0,1,3.0,2.0,0.3
Marshall Islands,0,0,2,2.0,7.0,0.0
Martinique,1,4,5,6.0,12.0,0.7
Matabeleland,3,2,3,7.0,14.0,1.1
Maule Sur,2,0,0,2.0,0.0,0.6
Mauritania,2,4,4,6.0,11.0,1.0
Mauritius,1,3,6,6.0,15.0,0.6
Mayotte,5,2,3,12.0,8.0,1.7
Menorca,4,2,4,18.0,12.0,1.4
Mexico,7,3,0,17.0,2.0,2.4
Micronesia,1,0,6,8.0,59.0,0.3
Moldova,0,3,7,9.0,32.0,0.3
Monaco,3,2,5,13.0,29.0,1.1
Mongolia,2,0,8,5.0,24.0,0.6
Montenegro,4,1,5,13.0,20.0,1.3
Montserrat,2,0,8,6.0,20.0,0.6
Morocco,5,5,0,20.0,7.0,2.0
Mozambique,3,1,6,10.0,15.0,1.0
Myanmar,4,2,4,16.0,24.0,1.4
Namibia,2,2,6,7.0,16.0,0.8
Nepal,2,3,5,7.0,11.0,0.9
Netherlands,5,4,1,21.0,10.0,1.9
New Caledonia,6,2,2,23.0,10.0,2.0
New Zealand,1,2,7,10.0,23.0,0.5
Nicaragua,1,2,7,5.0,22.0,0.5
Niger,3,3,4,9.0,13.0,1.2
Nigeria,5,4,1,18.0,7.0,1.9
Niue,0,0,2,0.0,33.0,0.0
North Korea,0,4,6,10.0,21.0,0.4
North Macedonia,1,5,4,8.0,18.0,0.8
North Vietnam,4,3,3,25.0,15.0,1.5
Northern Cyprus,5,5,0,28.0,8.0,2.0
Northern Ireland,4,1,5,10.0,12.0,1.3
Northern Mariana Islands,2,2,6,10.0,44.0,0.8
Norway,5,3,2,19.0,13.0,1.8
Occitania,7,3,0,33.0,6.0,2.4
Oman,2,4,4,7.0,11.0,1.0
Orkney,5,1,4,19.0,18.0,1.6
Padania,5,2,3,25.0,9.0,1.7
Pakistan,3,2,5,8.0,15.0,1.1
Palau,0,0,2,4.0,21.0,0.0
Palestine,1,6,3,5.0,9.0,0.9
Panama,2,3,5,11.0,17.0,0.9
Panjab,4,2,4,30.0,14.0,1.4
Papua New Guinea,5,3,2,18.0,15.0,1.8
Paraguay,4,3,3,12.0,10.0,1.5
Parishes of Jersey,2,0,1,11.0,4.0,0.6
Peru,1,3,6,8.0,17.0,0.6
Philippines,8,1,1,29.0,11.0,2.5
Poland,5,3,2,17.0,13.0,1.8
Portugal,6,4,0,23.0,5.0,2.2
Provence,4,0,6,55.0,20.0,1.2
Puerto Rico,3,2,5,11.0,19.0,1.1
Qatar,1,3,6,6.0,19.0,0.6
Quebec,2,0,1,24.0,2.0,0.6
Raetia,2,4,4,25.0,32.0,1.0
Republic of Ireland,5,3,2,16.0,8.0,1.8
Republic of St. Pauli,1,1,2,10.0,5.0,0.4
Rhodes,7,0,3,17.0,9.0,2.1
Romani people,2,0,5,13.0,26.0,0.6
Romania,4,2,4,16.0,15.0,1.4
Russia,6,2,2,19.0,7.0,2.0
Rwanda,3,1,6,8.0,12.0,1.0
Ryūkyū,0,0,1,0.0,9.0,0.0
Réunion,5,3,2,16.0,6.0,1.8
Saare County,3,2,5,16.0,21.0,1.1
Saarland,1,2,6,10.0,26.0,0.5
Saint Barthélemy,4,1,5,25.0,30.0,1.3
Saint Helena,0,0,8,6.0,41.0,0.0
Saint Kitts and Nevis,4,1,5,21.0,27.0,1.3
Saint Lucia,3,0,7,9.0,31.0,0.9
Saint Martin,5,0,5,17.0,17.0,1.5
Saint Pierre and Miquelon,0,0,7,2.0,78.0,0.0
Saint Vincent and the Grenadines,6,1,3,26.0,11.0,1.9
Samoa,4,0,6,12.0,30.0,1.2
San Marino,0,1,9,5.0,37.0,0.1
Sark,0,0,4,0.0,70.0,0.0
Saudi Arabia,2,3,5,8.0,15.0,0.9
Saugeais,0,1,0,1.0,1.0,0.1
Scotland,5,0,5,17.0,13.0,1.5
Sealand,4,4,2,24.0,25.0,1.6
Seborga,0,0,1,2.0,3.0,0.0
Senegal,4,1,5,18.0,16.0,1.3
Serbia,4,0,6,9.0,22.0,1.2
Seychelles,0,0,10,2.0,53.0,0.0
Shetland,3,2,5,18.0,20.0,1.1
Sierra Leone,4,2,4,11.0,11.0,1.4
Silesia,3,2,3,24.0,17.0,1.1
Singapore,5,2,3,19.0,13.0,1.7
Sint Maarten,5,2,3,13.0,22.0,1.7
Slovakia,6,1,3,15.0,15.0,1.9
Slovenia,1,5,4,8.0,14.0,0.8
Solomon Islands,2,0,8,16.0,29.0,0.6
Somalia,1,2,7,4.0,17.0,0.5
Somaliland,2,1,3,14.0,20.0,0.7
South Africa,3,3,4,9.0,11.0,1.2
South Korea,6,0,4,13.0,8.0,1.8
South Ossetia,4,2,4,13.0,22.0,1.4
South Sudan,1,3,6,6.0,20.0,0.6
South Yemen,0,0,3,1.0,8.0,0.0
Spain,5,5,0,17.0,4.0,2.0
Sri Lanka,4,1,5,9.0,15.0,1.3
Sudan,2,1,7,5.0,17.0,0.7
Suriname,2,4,4,13.0,14.0,1.0
Surrey,1,0,0,3.0,1.0,0.3
Sweden,3,3,4,18.0,23.0,1.2
Switzerland,4,5,1,18.0,10.0,1.7
Syria,5,3,2,20.0,9.0,1.8
Székely Land,3,2,5,21.0,22.0,1.1
Sápmi,3,0,7,11.0,20.0,0.9
São Tomé and Príncipe,1,2,7,6.0,21.0,0.5
Tahiti,5,1,4,12.0,14.0,1.6
Taiwan,2,0,8,14.0,29.0,0.6
Tajikistan,7,2,1,22.0,11.0,2.3
Tamil Eelam,8,0,2,27.0,13.0,2.4
Tanzania,1,2,7,12.0,14.0,0.5
Thailand,6,2,2,23.0,9.0,2.0
Tibet,0,2,8,16.0,41.0,0.2
Ticino,0,0,2,2.0,13.0,0.0
Timor-Leste,1,0,9,6.0,35.0,0.3
Togo,3,4,3,12.0,11.0,1.3
Tonga,2,0,8,12.0,45.0,0.6
Trinidad and Tobago,1,4,5,10.0,23.0,0.7
Tunisia,1,3,6,7.0,23.0,0.6
Turkey,7,1,2,19.0,9.0,2.2
Turkmenistan,5,1,4,16.0,14.0,1.6
Turks and Caicos Islands,2,4,4,9.0,18.0,1.0
Tuvalu,2,1,7,13.0,56.0,0.7
Two Sicilies,1,0,5,3.0,18.0,0.3
Uganda,4,2,4,14.0,15.0,1.4
Ukraine,5,1,4,15.0,16.0,1.6
United Arab Emirates,3,3,4,12.0,14.0,1.2
United Koreans in Japan,2,6,2,19.0,8.0,1.2
United States,5,1,4,21.0,16.0,1.6
United States Virgin Islands,2,4,4,15.0,20.0,1.0
Uruguay,2,6,2,8.0,11.0,1.2
Uzbekistan,2,3,5,10.0,18.0,0.9
Vanuatu,4,2,4,16.0,22.0,1.4
Vatican City,0,3,5,6.0,21.0,0.3
Venezuela,3,1,6,11.0,17.0,1.0
Vietnam,9,0,1,24.0,10.0,2.7
Vietnam Republic,2,2,6,10.0,20.0,0.8
Wales,3,3,4,15.0,14.0,1.2
Wallis Islands and Futuna,1,0,9,7.0,58.0,0.3
West Papua,0,1,1,3.0,9.0,0.1
Western Armenia,4,2,4,20.0,13.0,1.4
Western Australia,3,2,5,14.0,17.0,1.1
Western Isles,3,1,6,11.0,19.0,1.0
Western Sahara,2,1,6,16.0,38.0,0.7
Yemen,5,3,2,28.0,10.0,1.8
Yemen DPR,1,3,6,10.0,24.0,0.6
Ynys Môn,9,0,1,21.0,10.0,2.7
Yorkshire,5,1,1,27.0,11.0,1.6
Yoruba Nation,0,1,1,1.0,2.0,0.1
Yugoslavia,4,2,4,21.0,13.0,1.4
Zambia,1,2,7,5.0,23.0,0.5
Zanzibar,6,2,2,13.0,8.0,2.0
Zimbabwe,3,2,5,11.0,13.0,1.1
Åland Islands,2,4,4,8.0,14.0,1.0
